customer_id,name,country,created_at,kyc_updated_at,risk_score,account_iban,customer_segment,employment_status,annual_income_eur,kyc_review_date,residency_status,source_of_funds,onboarding_channel,last_login_ip_country,account_iban,customer_segment,employment_status,annual_income_eur,kyc_review_date,residency_status,source_of_funds,onboarding_channel,last_login_ip_country
1,Client FR #1,FR,2022-01-10,2023-02-15,40,FR766385410000000000101,Retail,Salaried,52088,2025-06-02,Resident,Business income,Branch,BE,FR766385410000000000101,Retail,Salaried,52088,2025-06-02,Resident,Business income,Branch,BE
2,Client FR #2,FR,2021-06-01,2022-01-01,85,FR764112810000000000201,Retail,Student,84083,2024-08-31,Resident,Business income,Branch,ES,FR764112810000000000201,Retail,Student,84083,2024-08-31,Resident,Business income,Branch,ES
3,,LU,2025-04-28,,38,FR762412610000000000301,Private,Retired,39953,2024-09-19,Non-Resident,Salary,Online,DE,FR762412610000000000301,Private,Retired,39953,2024-09-19,Non-Resident,Salary,Online,DE
4,,DE,2023-06-21,,0,FR763988510000000000401,Private,Salaried,43073,2024-06-13,Non-Resident,Business income,Online,DE,FR763988510000000000401,Private,Salaried,43073,2024-06-13,Non-Resident,Business income,Online,DE
5,,ES,2024-12-22,,92,FR764009910000000000501,Private,Salaried,46999,2024-06-09,Non-Resident,Business income,Branch,ES,FR764009910000000000501,Private,Salaried,46999,2024-06-09,Non-Resident,Business income,Branch,ES
6,,LU,2024-12-21,,11,FR767583710000000000601,Private,Student,31357,2024-04-03,Non-Resident,Salary,Branch,ES,FR767583710000000000601,Private,Student,31357,2024-04-03,Non-Resident,Salary,Branch,ES
7,,FR,2023-07-16,,93,FR768283610000000000701,Premium,Retired,128585,2024-05-08,Resident,Business income,Branch,FR,FR768283610000000000701,Premium,Retired,128585,2024-05-08,Resident,Business income,Branch,FR
8,,ES,2024-09-09,,22,FR761353310000000000801,Private,Retired,90484,2024-10-25,Non-Resident,Business income,Branch,FR,FR761353310000000000801,Private,Retired,90484,2024-10-25,Non-Resident,Business income,Branch,FR
9,,DE,2024-11-11,,72,FR763989210000000000901,Retail,Student,95053,2025-03-24,Non-Resident,Savings,Branch,ES,FR763989210000000000901,Retail,Student,95053,2025-03-24,Non-Resident,Savings,Branch,ES
10,,LU,2024-01-01,,7,FR766677510000000001001,Premium,Retired,47664,2024-11-26,Non-Resident,Salary,Online,DE,FR766677510000000001001,Premium,Retired,47664,2024-11-26,Non-Resident,Salary,Online,DE
11,,LU,2023-05-07,,70,FR762695310000000001101,Private,Self-Employed,139157,2023-04-14,Non-Resident,Business income,Branch,FR,FR762695310000000001101,Private,Self-Employed,139157,2023-04-14,Non-Resident,Business income,Branch,FR
12,,DE,2025-01-18,,44,FR761208010000000001201,Retail,Retired,31040,2024-01-04,Non-Resident,Business income,Branch,GB,FR761208010000000001201,Retail,Retired,31040,2024-01-04,Non-Resident,Business income,Branch,GB
13,,IT,2023-11-02,,26,FR766791910000000001301,Private,Salaried,46628,2025-04-10,Non-Resident,Salary,Online,ES,FR766791910000000001301,Private,Salaried,46628,2025-04-10,Non-Resident,Salary,Online,ES
14,,LU,2023-12-01,,81,FR769546610000000001401,Premium,Self-Employed,103466,2025-06-28,Non-Resident,Salary,Branch,GB,FR769546610000000001401,Premium,Self-Employed,103466,2025-06-28,Non-Resident,Salary,Branch,GB
15,,DE,2025-04-02,,16,FR766490110000000001501,Private,Retired,80892,2025-05-23,Non-Resident,Business income,Online,DE,FR766490110000000001501,Private,Retired,80892,2025-05-23,Non-Resident,Business income,Online,DE
