tx_id,timestamp,amount,currency,channel,src_type,src_id,dst_type,dst_id,src_country,dst_country,ip_country,crypto_institution_registered,kyc_age_days,label,rule_hits,anomaly_score,device_id,auth_method,mcc,purpose,reference,beneficiary_bank_bic,beneficiary_iban,originator_bank_bic,originator_iban,fee_amount,exchange_rate,card_present,recurring,standing_order,is_cross_border,ip_country,device_id,auth_method,mcc,purpose,reference,beneficiary_bank_bic,beneficiary_iban,originator_bank_bic,originator_iban,fee_amount,exchange_rate,crypto_institution_registered,card_present,recurring,standing_order,is_cross_border
9001,2025-08-01T01:10:00Z,20000,EUR,SEPA,Customer,1,Company,1,FR,CN,,,600,suspicious,,92,dev-468389,OTP,,Crypto,CRY-904359,CITICNLLXXX,FR761532710000000900101,DEUTFRPA0XX,FR763146310000000900201,1.91,1,,false,false,true,,dev-468389,OTP,,Crypto,CRY-904359,CITICNLLXXX,FR761532710000000900101,DEUTFRPA0XX,FR763146310000000900201,1.91,1,,,false,false,true
9002,2025-08-03T13:45:00Z,1200,EUR,PSU-PSD2,Company,1,Customer,2,FR,FR,ES,,800,suspicious,,70,dev-875454,OTP,,Salary,SAL-626127,AGRIFFRP2A1,FR769514910000000900201,PSSTFRLL0XX,FR769233810000000900301,2.46,1,,false,false,false,ES,dev-875454,OTP,,Salary,SAL-626127,AGRIFFRP2A1,FR769514910000000900201,PSSTFRLL0XX,FR769233810000000900301,2.46,1,,,false,false,false
9003,2025-08-05T02:30:00Z,3000,EUR,SEPA,Customer,2,Company,2,FR,RU,,,590,suspicious,,80,dev-789476,SCA,,Rent,REN-350163,CCBPRULL2A1,FR767116010000000900301,CITIFRPP2A1,FR767631210000000900401,2.88,1,,false,false,true,,dev-789476,SCA,,Rent,REN-350163,CCBPRULL2A1,FR767116010000000900301,CITIFRPP2A1,FR767631210000000900401,2.88,1,,,false,false,true
9004,2025-08-05T03:20:00Z,10000,EUR,SEPA,Customer,2,Company,2,FR,FR,,,590,suspicious,,65,dev-444146,OTP,,Gift,GIF-116376,HSBCFRMMXXX,FR769043210000000900401,PSSTFRPP0XX,FR769249310000000900501,0.45,1,,false,false,false,,dev-444146,OTP,,Gift,GIF-116376,HSBCFRMMXXX,FR769043210000000900401,PSSTFRPP0XX,FR769249310000000900501,0.45,1,,,false,false,false
9005,2025-08-06T10:20:00Z,9500,EUR,CASH,Customer,1,Company,2,FR,FR,,,600,normal,,30,dev-799179,OTP,,Rent,REN-331439,DEUTFRLX2A1,FR763753810000000900501,HSBCFRPA0XX,FR766108810000000900601,0.17,1,,false,false,false,,dev-799179,OTP,,Rent,REN-331439,DEUTFRLX2A1,FR763753810000000900501,HSBCFRPA0XX,FR766108810000000900601,0.17,1,,,false,false,false
9006,2025-08-21T06:37:23.534Z,5131.99,EUR,CASH,customer,717,company,379,US,ES,,,,review,,72,dev-215852,SCA,,Salary,REF-689322,HSBCESLX2A1,FR762372410000000900601,SOGEUSLL2A1,FR761368610000000900701,0.56,1,,false,false,true,,dev-215852,SCA,,Salary,REF-689322,HSBCESLX2A1,FR762372410000000900601,SOGEUSLL2A1,FR761368610000000900701,0.56,1,,,false,false,true
9007,2025-08-28T06:37:23.534Z,6289.99,GBP,PSU-PSD2,company,108,company,468,IT,CH,DE,,,normal,FONDS_SEIN_PAYS_TIER;UTILISATION_CONNECTE,30,dev-845805,SCA,,Salary,REF-501395,SOGECHPA2A1,FR762078410000000900701,CITIITMM0XX,FR769473310000000900801,2.82,1.0308,,false,false,true,DE,dev-845805,SCA,,Salary,REF-501395,SOGECHPA2A1,FR762078410000000900701,CITIITMM0XX,FR769473310000000900801,2.82,1.0308,,,false,false,true
9008,2025-06-26T06:37:23.534Z,5040.25,EUR,SWIFT,company,397,company,319,DE,FR,,,,review,,78,dev-947113,SCA,,Rent,REF-769871,PSSTFRLL2A1,FR763030810000000900801,BNPADEPP2A1,FR762830710000000900901,2.78,1,,false,false,true,,dev-947113,SCA,,Rent,REF-769871,PSSTFRLL2A1,FR763030810000000900801,BNPADEPP2A1,FR762830710000000900901,2.78,1,,,false,false,true
9009,2025-08-13T06:37:23.534Z,1169.67,GBP,CARD,customer,578,company,822,ES,CN,,,,review,FONDS_SEIN_PAYS_TIER,67,dev-611173,3DS,4829,Salary,REF-621295,AGRIFCNP0XX,FR763942810000000900901,BARCESLX0XX,FR762143010000000901001,2.16,1.287,true,false,false,true,,dev-611173,3DS,4829,Salary,REF-621295,AGRIFCNP0XX,FR763942810000000900901,BARCESLX0XX,FR762143010000000901001,2.16,1.287,,true,false,false,true
9010,2025-09-04T06:37:23.534Z,2040.24,USD,CRYPTO,customer,310,company,518,ES,CH,,true,,suspect,FONDS_SEIN_PAYS_TIER,65,dev-213851,SCA,,Invoice,REF-572961,AGRIFCHLXXX,FR769534310000000901001,SOGEESPP2A1,FR763249810000000901101,1.24,0.8096,,false,false,true,,dev-213851,SCA,,Invoice,REF-572961,AGRIFCHLXXX,FR769534310000000901001,SOGEESPP2A1,FR763249810000000901101,1.24,0.8096,true,,false,false,true
9011,2025-08-25T06:37:23.534Z,8213.78,GBP,CRYPTO,company,64,company,526,DE,ES,,false,,review,PBR_ATTACHED,60,dev-204665,SCA,,Salary,REF-748359,CCBPESMMXXX,FR769019810000000901101,BNPADEPP2A1,FR767536310000000901201,0.05,1.1425,,false,false,true,,dev-204665,SCA,,Salary,REF-748359,CCBPESMMXXX,FR769019810000000901101,BNPADEPP2A1,FR767536310000000901201,0.05,1.1425,false,,false,false,true
